state,color_code,color_code_alias,source_link,current_as_of
Alabama,2,Bill In Process,https://legiscan.com/AL/bill/SB14/2021,2/15/21
Alaska,2,Bill In Process,https://legiscan.com/AK/bill/SB1/2021,2/15/21
Arizona,0,No Action Taken Yet,None Found,2/15/21
Arkansas,2,Bill In Process,https://legiscan.com/AR/bill/HB1007/2021,2/15/21
California,4,Enacted Into Law,https://legiscan.com/CA/bill/AB1196/2019,2/15/21
Colorado,4,Enacted Into Law,https://legiscan.com/CO/bill/SB217/2020,8/28/20
Connecticut,4,Enacted Into Law,https://legiscan.com/CT/bill/HB06004/2020,8/28/20
Delaware,4,Enacted Into Law,https://legiscan.com/DE/bill/HB350/2019,8/28/20
Florida,2,Bill In Process,https://legiscan.com/FL/bill/H0277/2021,2/15/21
Georgia,2,Bill In Process,https://legiscan.com/GA/bill/HB18/2021,2/15/21
Hawaii,4,Enacted Into Law,https://legiscan.com/HI/bill/HB285/2020,2/15/21
Idaho,0,No Action Taken Yet,None Found,1/8/21
Illinois,2,Bill In Process,https://legiscan.com/IL/bill/HB0029/2021,2/15/21
Indiana,0,No Action Taken Yet,None Found,1/8/21
Iowa,4,Enacted Into Law,https://www.legiscan.com/IA/bill/HF2647/2019,2/15/21
Kansas,0,No Action Taken Yet,None Found ,1/24/21
Kentucky,2,Bill In Process,https://apps.legislature.ky.gov/record/21rs/prefiled/BR22.html,1/24/21
Louisiana,1,Commitment To Act,https://legiscan.com/LA/bill/SCR7/2020/X1,1/24/21
Maine,4,Enacted Into Law,https://legiscan.com/ME/bill/LD1219/2019,1/3/21
Maryland,2,Bill In Process,https://legiscan.com/MD/bill/HB353/2021,1/24/21
Massachusetts,4,Enacted Into Law,https://legiscan.com/MA/bill/S2963/2019,1/24/21
Michigan,0,No Action Taken Yet,None Found,1/24/21
Minnesota,4,Enacted Into Law,https://legiscan.com/MN/bill/HF2/2020/X3,1/3/21
Mississippi,4,Enacted Into Law,https://www.legiscan.com/MS/bill/HB851/2020,1/3/21
Missouri,0,No Action Taken Yet,https://legiscan.com/MO/bill/HB565/2021,1/3/21
Montana,0,No Action Taken Yet,None Found,1/3/21
Nebraska,4,Enacted Into Law,https://www.legiscan.com/NE/bill/LB924/2019,1/3/21
Nevada,2,Bill In Process,https://legiscan.com/NV/bill/AB58/2021,1/3/21
New Hampshire,2,Bill In Process,https://legiscan.com/NH/bill/HB1217/2020,1/3/21
New Jersey,2,Bill In Process,https://www.legiscan.com/NJ/bill/S2590/2020,1/3/21
New Mexico,4,Enacted Into Law,https://www.legiscan.com/NM/text/SB8/2020/X1,1/3/21
New York,4,Enacted Into Law,https://www.legiscan.com/NY/bill/S08496/2019,1/3/21
North Carolina,0,No Action Taken Yet,https://www.newsobserver.com/news/politics-government/article247828785.html,1/2/21
North Dakota,0,No Action Taken Yet,None Found,1/2/21
Ohio,2,Bill In Process,https://legiscan.com/OH/bill/SCR16/2019,1/2/21
Oklahoma,2,Bill In Process,None Found,1/2/21
Oregon,4,Enacted Into Law,https://www.legiscan.com/OR/bill/HB4205/2020/X1,1/2/21
Pennsylvania,4,Enacted Into Law,https://www.legiscan.com/PA/bill/HB1841/2019,1/2/21
Rhode Island,1,Commitment To Act,https://www.legiscan.com/RI/bill/S2867/2020,1/6/21
South Carolina,0,No Action Taken Yet,https://www.legiscan.com/SC/bill/H3049/2021,1/6/21
South Dakota,0,No Action Taken Yet,None Found,1/6/21
Tennessee,2,Bill In Process,https://legiscan.com/TN/bill/HB2291/2019,1/6/21
Texas,1,Commitment To Act,https://legiscan.com/TX/bill/SB68/2021,1/6/21
Utah,0,No Action Taken Yet,https://legiscan.com/UT/bill/HB5007/2020/X5,1/6/21
Vermont,4,Enacted Into Law,https://legiscan.com/VT/bill/S0219/2019,1/6/21
Virginia,2,Bill In Process,https://legiscan.com/VA/bill/SB5030/2020/X1,1/6/21
Washington,1,Commitment To Act,https://legiscan.com/WA/bill/SB5051/2021,1/6/21
West Virginia,0,No Action Taken Yet,None Found,1/6/21
Wisconsin,2,Bill In Process,None Found,1/6/21
Wyoming,0,No Action Taken Yet,https://legiscan.com/WY/bill/SF0008/2021,1/6/21
